id	departmento	Tipo trámite	URL
136	agace	32605	https://front.v30.ultrasist.net/agace/importador-y-o-exportador/solicitud
612	agace	32606	https://front.v30.ultrasist.net/agace/economico/solicitud
609	agace	32607	https://front.v30.ultrasist.net/agace/aeronaves/solicitud
614	agace	32608	https://front.v30.ultrasist.net/agace/seciit-oea-registration/solicitud
32609	agace	32609	https://front.v30.ultrasist.net/agace/certificacion-empresas/operador-economico-autorizado-textil
611	agace	32610	https://front.v30.ultrasist.net/agace/registro-oae-rfe/solicitud
615	agace	32611	https://front.v30.ultrasist.net/agace/auto-transportista/solicitud
609	agace	32612	https://front.v30.ultrasist.net/agace/esquema-de-certificacion/registro-solicitud32612
610	agace	32613	https://front.v30.ultrasist.net/agace/rubro-transporte-ferroviario/pantallas
606	agace	32614	https://front.v30.ultrasist.net/agace/importador-y-o-exportador2/solicitud
613	agace	32615	https://front.v30.ultrasist.net/agace/recinto-fiscalizado/solicitud
606	se	32616	https://front.v30.ultrasist.net/agace/solicitud-de-registro/solicitud
32617	agace	32617	https://front.v30.ultrasist.net/agace/certificacion-empresas-modalidad/oea-tercerizacion-logistica
613	agace	32618	https://front.v30.ultrasist.net/agace/sce-socio-almacenamiento/solicitud
607	agace	33302	https://front.v30.ultrasist.net/agace/aviso-certificacion/aviso-certificacion
608	agace	33303	https://front.v30.ultrasist.net/agace/aviso-modification-certificacion/pantallas
616	agace	33304	https://front.v30.ultrasist.net/agace/aviso-comercializadora-modification-importadora/solicitud
21	aga	40101	https://front.v30.ultrasist.net/aga/transportista-terrestre/solicitante
22	aga	40102	https://front.v30.ultrasist.net/aga/transportista-renovacion/solicitante
23	aga	40103	https://front.v30.ultrasist.net/aga/modificar-caat-terrestre/solicitante
130	aga	40201	https://front.v30.ultrasist.net/aga/transportacion-maritima/asignar-caat-maritimo
194	aga	40202	https://front.v30.ultrasist.net/aga/modificacion-transportacion-maritima/modificar-caat-maritimo
131	aga	40301	https://front.v30.ultrasist.net/aga/registro-caat-naviero/solicitud
24	aga	40302	https://front.v30.ultrasist.net/aga/registro-transportista/solicitante
132	aga	40401	https://front.v30.ultrasist.net/aga/registro-del-codigo/solicitud
133	aga	40402	https://front.v30.ultrasist.net/aga/codigo-transportista
112	aga	40403	https://front.v30.ultrasist.net/aga/atencion-de-renovacion/solicitante
25	se	80101	https://front.v30.ultrasist.net/se/nuevo-programa-industrial/action
26	se	80102	https://front.v30.ultrasist.net/se/autorizacion-programa-nuevo/solicitud
285	se	80103	https://front.v30.ultrasist.net/se/registro-solicitud-immex-modalidad/action
286	se	80104	https://front.v30.ultrasist.net/se/registro-solicitud-immex-modalidad-controladora/action
287	se	80105	https://front.v30.ultrasist.net/se/modalidad-terciarizacion/action
27	se	80202	https://front.v30.ultrasist.net/se/immex-ampliacion-sensibles/programa-immex
28	se	80203	https://front.v30.ultrasist.net/se/immex-registro-solicitud-modality/programa-immex
29	se	80205	https://front.v30.ultrasist.net/se/certificado-registro/programa-immex
245	se	80206	https://front.v30.ultrasist.net/se/modalidad-ampliacion/programa-immex
30	se	80207	https://front.v30.ultrasist.net/se/subfabricante-immex/programa-immex
31	se	80208	https://front.v30.ultrasist.net/se/solicitud-modalidad/programa-immex
288	se	80210	https://front.v30.ultrasist.net/se/registro-solicitud-immex/programa-immex
289	se	80211	https://front.v30.ultrasist.net/se/registro-expansion/programa-immex
246	se	80301	https://front.v30.ultrasist.net/se/registro-solicitud/registro-solicitud
32	se	80302	https://front.v30.ultrasist.net/se/solicitud-modificacion/registro-solicitud
314	se	80303	https://front.v30.ultrasist.net/se/registro-solicitude/registro-solicitude
600	se	80306	https://front.v30.ultrasist.net/se/immex-modificacion/registro-modificacion
33	se	80308	https://front.v30.ultrasist.net/se/modificacion/programas-immex
290	se	80314	https://front.v30.ultrasist.net/se/immex-modificacion-cambio-de-sector/programas-immex
291	se	80316	https://front.v30.ultrasist.net/se/modificaciones-immex/tipo-de-persona
34	se	90101	https://front.v30.ultrasist.net/se/autorizacion-prosec/prosec
292	se	90102	https://front.v30.ultrasist.net/se/autorizacion-prosec-productor/productores-indirectos
35	se	90201	https://front.v30.ultrasist.net/se/expansion-de-productores/prosec-tabla
293	se	90202	https://front.v30.ultrasist.net/se/ampliacion-prosec-productor/programas-disponibles-ampliar
315	se	90302	https://front.v30.ultrasist.net/se/programa-prosec/programas-prosec
